¶ Linstruction des	¶ L'instruction des
aymez ou non/ de tout uostre coeur ⁊ de toute uo¬	aymez ou non/ de tout vostre coeur et de toute vo¬
stre ame ⁊c. 5.Moyse.13.a.	stre ame etc. 5.Moyse.13.a.
Les idoles des gẽs sont or ⁊ argent/ oeuures des	Les idoles des gens sont or et argent/ oeuvres des
mains des hommes. Ps̈.113.b.134.c.	mains des hommes. Ps̈.113.b.134.c.
Car loeuure de la main de louurier a coppe le	Car l'oeuvre de la main de l'ouvrier a coppe le
boys en la forest de la hache/ ⁊ la aorne dor ⁊ dar¬	boys en la forest de la hache/ et l'a aorne d'or et d'ar¬
gẽt/ ⁊ la attache de cloux/ affin qͥl ne se desioingne	gent/ et l'a attache de cloux/ affin qu'il ne se desjoingne
point ⁊c. Toutes ces choses sõt oeuure douuriers	point etc. Toutes ces choses sont oeuvre d'ouvriers
ingenieux. Mais Leternel est uray Dieu uiuãt/ ⁊	ingenieux. Mais L'eternel est vray Dieu vivant/ et
roy perpetuel. Iere.10.a.b.	roy perpetuel. Jere.10.a.b.
Ieroboam dit: Israel/ uoicy tes dieux qui te ont	Jeroboam dit: Israel/ voicy tes dieux qui te ont
retire de la terre Degypte. Et en a mis un en Be¬	retire de la terre D'egypte. Et en a mis un en Be¬
tel/ ⁊ lautre en Dan. Et ceste chose a este a peche.	tel/ et l'autre en Dan. Et ceste chose a este a peche.
1.Roix.12.f. 2.Moyse.32.b.	1.Roix.12.f. 2.Moyse.32.b.
Abbatez leurs autelz/ ⁊ brisez leurs statues/ et	Abbatez leurs autelz/ et brisez leurs statues/ et
coppez les boys/ ⁊ bruslez les images: car tu es un	coppez les boys/ et bruslez les images: car tu es un
peuple saĩct/ au seigneur ton dieu. 5.Moyse.7.a.	peuple sainct/ au seigneur ton dieu. 5.Moyse.7.a.
12.a. 2.Moyse.34.b.	12.a. 2.Moyse.34.b.
Soy estimans estre sages/ ont este faictz folz/ ⁊	Soy estimans estre sages/ ont este faictz folz/ et
ont mue la gloire de dieu immortel/ en similitude	ont mue la gloire de dieu immortel/ en similitude
dimage dhõme mortel/ ⁊c. Lesquelz ont chãge la	d'image d'homme mortel/ etc. Lesquelz ont change la
gloire diceluy en mensonge/ ⁊ ont faict reuerence ⁊	gloire d'iceluy en mensonge/ et ont faict reverence et
seruice plus a la chose cree/ que au createur/ lequel	service plus a la chose cree/ que au createur/ lequel
est a louer eternellemẽt. Amen. Rom̃.1.c.d.	est a louer eternellement. Amen. Rom̃.1.c.d.
Ne soyez point idolatres/ ainsi que aucuns de	Ne soyez point idolatres/ ainsi que aucuns de
eux: comme il est escrit: Le peuple se est assis pour	eux: comme il est escrit: Le peuple se est assis pour
manger ⁊ pour boire/ ⁊ se sont leuez pour iouer.	manger et pour boire/ et se sont levez pour jouer.
1.Corin.10.b. 2.Moyse.32.b.	1.Corin.10.b. 2.Moyse.32.b.
Fuyez le seruice des images. 1.Corin.10.c.	Fuyez le service des images. 1.Corin.10.c.
Enfans donnez uous garde des images. 1.Ie¬	Enfans donnez vous garde des images. 1.Je¬
han.5.d.	han.5.d.
Nous scauons que limage nest rien au monde/	Nous scavons que l'image n'est rien au monde/
⁊ que nul nest Dieu sinõ ung seul. Car ia soit que	et que nul n'est Dieu sinon ung seul. Car ja soit que
il y en ayt qui soient ditz Dieux tant au ciel cõme	il y en ayt qui soient ditz Dieux tant au ciel comme
en terre (cõme ilz sont plusieurs dieux ⁊ plusieurs	en terre (comme ilz sont plusieurs dieux et plusieurs
seigneurs) toutesfoys a nous nest que un Dieu: le	seigneurs) toutesfoys a nous n'est que un Dieu: le
pere/ duquel sont toutes choses ⁊ nous en luy. Et	pere/ duquel sont toutes choses et nous en luy. Et
un Seigñr Iesus Christ/ par lequel toutes choses	un Seigneur Jesus Christ/ par lequel toutes choses
sont ⁊ nous par luy. 1.Corin.8.b.	sont et nous par luy. 1.Corin.8.b.
Uoyez) 5.Moyse.4.c.5.a.7.a.12.a. Isa.2.40.42.	Voyez) 5.Moyse.4.c.5.a.7.a.12.a. Isa.2.40.42.
44.46. Ierem̃.2.10. Ezech.6.8. Osee.10.11.13. Ba	44.46. Jerem̃.2.10. Ezech.6.8. Osee.10.11.13. Ba¬
ruch.6. Sapien.13.14.15.16.	ruch.6. Sapien.13.14.15.16.
¶ Item de ceux qui ont abbatu ⁊ oste toutes	¶ Item de ceux qui ont abbatu et oste toutes
images/ cõme Ezechias. 2.Roix.18.a. Et	images/ comme Ezechias. 2.Roix.18.a. Et
Iosaphat. 2.Croniq.9.a. Et Iosias. 2.Roix	Josaphat. 2.Croniq.9.a. Et Josias. 2.Roix
23.a. 2.Croniques.34.f. Et Manasse/ en son	23.a. 2.Croniques.34.f. Et Manasse/ en son
oraison.	oraison.
¶ Sur le .iii. cõmandement.	¶ Sur le .iii. commandement.
¶ De ne prendre point le nom de	¶ De ne prendre point le nom de
dieu en uain ⁊ sans cause.	dieu en vain et sans cause.
Uous ne souillerez point mõ saĩct nom/ ⁊ seray	Vous ne souillerez point mon sainct nom/ et seray
sanctifie entre les enfans Disrael. Ie suis Leter¬	sanctifie entre les enfans D'israel. Je suis L'eter¬
nel qui uous sanctifie. 3.Moyse.22.d.	nel qui vous sanctifie. 3.Moyse.22.d.
Sanctifie soit ton nom. Matth.6.b.	Sanctifie soit ton nom. Matth.6.b.
Tu ne iureras point par mon nom en mentant/	Tu ne jureras point par mon nom en mentant/
⁊ ne souilleras le nom de tõ Dieu/ ie suis Leternel.	et ne souilleras le nom de ton Dieu/ je suis L'eternel.
3.Moyse.19 c.	3.Moyse.19 c.
Ne iurez au nom de leurs dieux/ et ne seruez a	Ne jurez au nom de leurs dieux/ et ne servez a
eux ⁊ ne les adorez: mais adherez au seigñr uostre	eux et ne les adorez: mais adherez au seigneur vostre
dieu/ ce q̃ auez faict iusque a ce iour. Iosue.23.b.	dieu/ ce que avez faict jusque a ce jour. Josue.23.b.
Tu ne feras point mention du nom des autres	Tu ne feras point mention du nom des autres
dieux/ ⁊ ne sera poĩt ouy en ta bouche. 2.Moy.23.b	dieux/ et ne sera point ouy en ta bouche. 2.Moy.23.b
Ne iurez nullemẽt/ ne par le ciel/ car cest le thro	Ne jurez nullement/ ne par le ciel/ car c'est le thro¬
ne de dieu: ne par la terre/ car elle est le marchepied	ne de dieu: ne par la terre/ car elle est le marchepied
de ses piedz: ne par Hierusalem: car cest la cite du	de ses piedz: ne par Hierusalem: car c'est la cite du
grand roy. Aussi ne iureras par ta teste/ car tu ne	grand roy. Aussi ne jureras par ta teste/ car tu ne
peux faire un cheueu blãc ou noir. Mais soit ur̃e	peux faire un cheveu blanc ou noir. Mais soit vostre
parolle/ Ouy/ ouy: Non/ non. Car ce qͥ est adiouste	parolle/ Ouy/ ouy: Non/ non. Car ce qui est adjouste
outre ce est du mauuais. Matth.5.f. Iacq̃s.5.c.	outre ce est du mauvais. Matth.5.f. Jacques.5.c.
Dieu certes est ueritable/ que nostre parolle qui	Dieu certes est veritable/ que nostre parolle qui
a este enuers uous na point este: Ouy ⁊ non Car	a este envers vous n'a point este: Ouy et non Car
le filz de dieu Iesus Christ: qui entre uoꝰ par nous	le filz de dieu Jesus Christ: qui entre vous par nous
a este presche/ par moy ⁊ Siluain ⁊ Timothee: na	a este presche/ par moy et Silvain et Timothee: n'a
point este: Ouy ⁊ non: mais ouy a este en luy. Car	point este: Ouy et non: mais ouy a este en luy. Car
toutes les ꝓmesses de dieu/ sont par celuy Ouy: ⁊	toutes les promesses de dieu/ sont par celuy Ouy: et
par celuy Amẽ/ en gloire a Dieu par nous. 2.Co¬	par celuy Amen/ en gloire a Dieu par nous. 2.Co¬
rinthiens.1.d.	rinthiens.1.d.
Uostre parolle soit tousiours cõfite en sel auec	Vostre parolle soit tousjours confite en sel avec
grace. Coloss.4.a.	grace. Coloss.4.a.
Si aucun parle/ quil parle comme parolles de	Si aucun parle/ qu'il parle comme parolles de
Dieu. 1.Pierre.4.c.	Dieu. 1.Pierre.4.c.
¶ Du iurement licite/ concernant lhonneur	¶ Du jurement licite/ concernant l'honneur
de Dieu/ et ledification du prochain.	de Dieu/ et l'edification du prochain.
Les hõmes certes iurent par le plus grand ⁊ la	Les hommes certes jurent par le plus grand et la
fin de tout leur different/ pour cõfirmation est le	fin de tout leur different/ pour confirmation est le
iurement. Heb.6.d.	jurement. Heb.6.d.
Tu seras a luy adherent/ ⁊ iureras par sõ nom.	Tu seras a luy adherent/ et jureras par son nom.
5.Moyse.10.d.6.c.	5.Moyse.10.d.6.c.
Qui iure a son ꝓchain/ ⁊ ne uarie poĩt. Ps̈.15.c.	Qui jure a son prochain/ et ne varie point. Ps̈.15.c.
Tous ceux qͥ iurent en luy serõt louez. Ps̈.63.c	Tous ceux qui jurent en luy seront louez. Ps̈.63.c
Iay iure par moymesme: la parolle de iustice sor	J'ay jure par moymesme: la parolle de justice sor¬
tira hors de ma bouche/ ⁊ ne retournera poĩt. Car	tira hors de ma bouche/ et ne retournera point. Car
tout genouil se ployera deuãt moy: ⁊ toute lãgue	tout genouil se ployera devant moy: et toute langue
iurera a moy. Isa.45.d.	jurera a moy. Isa.45.d.
Dieu auq̃l ie sers en mon esperit en leuãgile de	Dieu auquel je sers en mon esperit en l'evangile de
son filz/ mest tesmoing. Rom̃.1.b. Philip.1.a.	son filz/ m'est tesmoing. Rom̃.1.b. Philip.1.a.
Uoyez exẽples) Du iuremẽt faict en iugemẽt.	Voyez exemples) Du jurement faict en jugement.
2.Moy.22.a. De Abimelech ⁊ Isaac. 1.Moy.26.g.	2.Moy.22.a. De Abimelech et Isaac. 1.Moy.26.g.
De Iacob. 1.Moy.31.g. De Ioseph. 1.Moy.47.	De Jacob. 1.Moy.31.g. De Joseph. 1.Moy.47.
g. De Iosue auec les princes. Iosue.9.d. Des Is¬	g. De Josue avec les princes. Josue.9.d. Des Is¬
raelites. Iug.21.a. De Dauid. 1.Samuel.20.c.24.	raelites. Jug.21.a. De David. 1.Samuel.20.c.24.
d.2. Samuel.19.d. 1.Roys.1.b.c.d.2.b. De Paul.	d.2. Samuel.19.d. 1.Roys.1.b.c.d.2.b. De Paul.
2.Corin.1.d.	2.Corin.1.d.
¶ Sur le .iiii. cõmandement.	¶ Sur le .iiii. commandement.
¶ Du iour du sabbath ou repos.	¶ Du jour du sabbath ou repos.
Dieu accõplit au septiesme iour/ son oeuure qͥl	Dieu accomplit au septiesme jour/ son oeuvre qu'il
auoit faicte/ ⁊ beneit le septiesme iour ⁊ le sãctifia.	avoit faicte/ et beneit le septiesme jour et le sanctifia.
1.Moy.2.a. 2.Moy.20.b. Heb.4.a.b.	1.Moy.2.a. 2.Moy.20.b. Heb.4.a.b.
Prenez garde q̃ uoꝰ obseruiez mõ sabbath. Car	Prenez garde que vous observiez mon sabbath. Car
cest le signe entre moy ⁊ uous/ en uoz generatiõs:	c'est le signe entre moy et vous/ en voz generations:
affin q̃ uoꝰ cõgnoissiez q̃ ie suis le Seigͬ leq̃l uoꝰ	affin que vous congnoissiez que je suis le Seigneur lequel vous
sãctifie. Gardez mõ sabbath/ car il est saĩct enuers	sanctifie. Gardez mon sabbath/ car il est sainct envers
uoꝰ. Cestuy qͥ le aura pollut/ qͥl meure de mort ⁊c.	vous. Cestuy qui le aura pollut/ qu'il meure de mort etc.
Cest laliãce eternelle entre moy ⁊ les filz de Israel/	C'est l'aliance eternelle entre moy et les filz de Israel/
⁊ le signe perpetuel. 2.Moy.31.c.d. Ezech.20.b.	et le signe perpetuel. 2.Moy.31.c.d. Ezech.20.b.
Six iours tu feras ton oeuure/ et au septiesme	Six jours tu feras ton oeuvre/ et au septiesme
iour tu te reposeras: affin que ton boeuf ⁊ ton asne	jour tu te reposeras: affin que ton boeuf et ton asne
cesse/ ⁊ que le filz de ta seruante ⁊ lestrangier ayent	cesse/ et que le filz de ta servante et l'estrangier ayent
repos. 2.Moyse.23.b.	repos. 2.Moyse.23.b.
Affin que ton seruiteur et ta seruante reposent	Affin que ton serviteur et ta servante reposent
cõme toy. 5.Moyse.5.b.	comme toy. 5.Moyse.5.b.
Ie ne souffriray plus uostre prime lune/ ne le	Je ne souffriray plus vostre prime lune/ ne le
sabbath ne les autres festes. Uoz congregations	sabbath ne les autres festes. Voz congregations
sont ꝑuerses/ mon ame hayt les iours de uoz Calẽ	sont perverses/ mon ame hayt les jours de voz Calen¬
des/ ⁊ uoz solẽnitez: icelles me sont en charge/ ⁊ ay	des/ et voz solennitez: icelles me sont en charge/ et ay
eu peine en les soustenant. Isa.1.d.	eu peine en les soustenant. Isa.1.d.
¶ De la deliurance du sabbath	¶ De la delivrance du sabbath
charnel ⁊ figuratif.	charnel et figuratif.
Nul ne uous iuge en uiande/ ou breuuage/ ou	Nul ne vous juge en viande/ ou breuvage/ ou
en partie du iour de la feste/ ou du nouueau moys/	en partie du jour de la feste/ ou du nouveau moys/
ou des sabbathz: qͥ sõt lombre des choses qui estoiẽt	ou des sabbathz: qui sont l'ombre des choses qui estoient
a aduenir/ le corps certes de Christ. Colos.2.f.	a advenir/ le corps certes de Christ. Colos.2.f.
Uoꝰ obseruez les iours/ ⁊ les moys/ ⁊ les tẽps/	Vous observez les jours/ et les moys/ et les temps/
⁊ les annees ⁊c. Gał.4.b.	et les annees etc. Gał.4.b.
Certes se uous entendiez que cest: Ie ueux mise	Certes se vous entendiez que c'est: Je veux mise¬
ricorde ⁊ non sacrifice/ iamais uous ne eussiez con¬	ricorde et non sacrifice/ jamais vous ne eussiez con¬
dẽne les innocens. Car le filz de lhõme est Seigñr	demne les innocens. Car le filz de l'homme est Seigneur
aussi du sabbath ⁊c. Il est donc licite de bien fair	aussi du sabbath etc. Il est donc licite de bien fair
aux sabbathz. Matthieu.12.a. Luc.6.a.	aux sabbathz. Matthieu.12.a. Luc.6.a.
Le sabbath est faict pour lhomme/ ⁊ non point	Le sabbath est faict pour l'homme/ et non point
lhõme pour le sabbath. Marc.2.d.	l'homme pour le sabbath. Marc.2.d.
¶ Du sabbath spirituel ⁊ perpetuel.	¶ Du sabbath spirituel et perpetuel.
Lors sera perpetuel moys/ ⁊ perpetuel sabbath.	Lors sera perpetuel moys/ et perpetuel sabbath.
Isa.66.g.	Isa.66.g.
Nous qui auons creu: entrerõs au repos/ cõme	Nous qui avons creu: entrerons au repos/ comme
il a dit ⁊c. Hastons nous donc dentrer en ce repos:	il a dit etc. Hastons nous donc d'entrer en ce repos:
affin que aucun ne chee en semblable exemple din	affin que aucun ne chee en semblable exemple d'in¬
credulite ⁊c. Hebr.4.a.b.c.	credulite etc. Hebr.4.a.b.c.
¶ Uoyez du sabbath plus amplemẽt) 2. Moy¬	¶ Voyez du sabbath plus amplement) 2. Moy¬
se.16.e.20.b.31.a.34.c.35.a. 3.Moyse.19.a.f.23.a.	se.16.e.20.b.31.a.34.c.35.a. 3.Moyse.19.a.f.23.a.
26.a. 5.Moyse.5.b. Isa.56.a.58.d. Ierem̃.7.c.	26.a. 5.Moyse.5.b. Isa.56.a.58.d. Jerem̃.7.c.
2.Esdr.13.b. 2.Moy.16.f. 4.Moy.15.d. Luc.3.c.	2.Esdr.13.b. 2.Moy.16.f. 4.Moy.15.d. Luc.3.c.
6.a. 1.Corin.16.a. Iehã.5.c.d.e.7.c. Luc.13.c.	6.a. 1.Corin.16.a. Jehã.5.c.d.e.7.c. Luc.13.c.
¶ Du labeur.	¶ Du labeur.
Tu laboureras par six iours/ ⁊ feras toutes tes	Tu laboureras par six jours/ et feras toutes tes
oeuures. 5.Moy.5.b.	oeuvres. 5.Moy.5.b.
En la sueur de tõ uisage tu mãgeras ton pain:	En la sueur de ton visage tu mangeras ton pain:
iusque a ce que tu retourne en la terre/ de laquelle	jusque a ce que tu retourne en la terre/ de laquelle
tu as este pris. Car tu es poudre/ ⁊ en poudre re¬	tu as este pris. Car tu es poudre/ et en poudre re¬
tourneras. 1.Moyse.3.c.	tourneras. 1.Moyse.3.c.
Lhomme est nay pour labourer/ ⁊ loyseau pour	L'homme est nay pour labourer/ et l'oyseau pour
uoller. Iob.5.a.	voller. Job.5.a.
Qui laboure son chãp/ il sera rassasie de pains:	Qui laboure son champ/ il sera rassasie de pains:
mais celuy est fol qui ensuyt loysiuete. ꝓuer.12.b.	mais celuy est fol qui ensuyt l'oysivete. prover.12.b.
Quãd aĩsi tu mãgeras le labeur de tes mains/	Quand ainsi tu mangeras le labeur de tes mains/
tu es biẽheureux ⁊ biẽ te sera. Psal.128.a.	tu es bienheureux et bien te sera. Psal.128.a.
Celuy qui desroboit/ maintenãt qͥl ne desrobbe	Celuy qui desroboit/ maintenant qu'il ne desrobbe
plus: mais plus tost quil labeure en oeuurant de	plus: mais plus tost qu'il labeure en oeuvrant de
ses mains ce qui est bon: affin quil ayt pour cõmu¬	ses mains ce qui est bon: affin qu'il ayt pour commu¬
niquer a celuy qui a disette. Ephe.4.f.	niquer a celuy qui a disette. Ephe.4.f.
Nous labourons en besongnant de noz mains.	Nous labourons en besongnant de noz mains.
1.Corinthiens.4.c.	1.Corinthiens.4.c.
Uous scauez cõmẽt il faut q̃ uous nous ensuy¬	Vous scavez comment il faut que vous nous ensuy¬
uez: car nous ne auõs pas este entre uous oyseux/	vez: car nous ne avons pas este entre vous oyseux/
⁊ ne auons point mãge le pain daucun pour neãt.	et ne avons point mange le pain d'aucun pour neant.
mais en labeur et trauail ouurant nuyt et iour/	mais en labeur et travail ouvrant nuyt et jour/
affin q̃ ne greuissions aucuns dentre uous. Non	affin que ne grevissions aucuns d'entre vous. Non
pas que nous ne ayõs eu la puissance: mais affin	pas que nous ne ayons eu la puissance: mais affin
de nous donner nous mesme pour exẽple a uous/	de nous donner nous mesme pour exemple a vous/
pour nous ensuyure. Car aussi quand nous estiõs	pour nous ensuyvre. Car aussi quand nous estions
auec uous/ nous uous annoncions ces choses/ que	avec vous/ nous vous annoncions ces choses/ que
se aucun ne ueut ouurer quil ne mange point.	se aucun ne veut ouvrer qu'il ne mange point.
2.Thessalo.3.b.c. 1.Thessa.4.c.	2.Thessalo.3.b.c. 1.Thessa.4.c.
Les choses lesquelles me estoient necessaires/ et	Les choses lesquelles me estoient necessaires/ et
a ceux qui sont auec moy/ ses mains cy les ont ad¬	a ceux qui sont avec moy/ ses mains cy les ont ad¬
ministre. Ie uous ay monstre toutes choses que	ministre. Je vous ay monstre toutes choses que
ceux qui labourent ainsi il faut quilz aydent les	ceux qui labourent ainsi il faut qu'ilz aydent les
foibles ⁊ ayent memoire de la parolle de nostre sei¬	foibles et ayent memoire de la parolle de nostre sei¬
gneur Iesus. Car il a dit/ que cest chose plus heu¬	gneur Jesus. Car il a dit/ que c'est chose plus heu¬
reuse de donner que de prendre. Act̃.20.g.	reuse de donner que de prendre. Act̃.20.g.
O toy paresseux ua a la formice: si contẽple sa	O toy paresseux va a la formice: si contemple sa
maniere/ affin que tu soye sage. Prouer.6.a.	maniere/ affin que tu soye sage. Prover.6.a.
Ne laboure pas pour estre riche: deporte toy de	Ne laboure pas pour estre riche: deporte toy de
ton conseil. Prouer.23.a.	ton conseil. Prover.23.a.
Uoyez) Prouer.6.10.13.18.20.21.24.28. Eccłe.11.	Voyez) Prover.6.10.13.18.20.21.24.28. Eccłe.11.
33.Eccłi.4.7.	33.Eccłi.4.7.
¶ Sur le .u. cõmandement.	¶ Sur le .v. commandement.
¶ De hõnorer pere ⁊ mere: ⁊	¶ De honnorer pere et mere: et
ceux qui nous sont au	ceux qui nous sont au
lieu diceux.	lieu d'iceux.
Hõnore ton pere ⁊ ta mere/ comme Leternel ton	Honnore ton pere et ta mere/ comme L'eternel ton
dieu le ta cõmande/ affin que tes iours soyẽt prolõ	dieu le ta commande/ affin que tes jours soyent prolon¬
gez/ ⁊ affin quil te soit bien sur la terre laq̃lle Le¬	gez/ et affin qu'il te soit bien sur la terre laquelle L'e¬
ternel/ ton dieu te donne. 5.Moyse.5.b.	ternel/ ton dieu te donne. 5.Moyse.5.b.
Celuy qui craint le Seigneur faict honneur a	Celuy qui craint le Seigneur faict honneur a
ses parens: ⁊ seruira a ceux qui lont engendre cõ¬	ses parens: et servira a ceux qui l'ont engendre com¬
me aux seigneurs/ en oeuure/ ⁊ en parolle/ ⁊ en tou	me aux seigneurs/ en oeuvre/ et en parolle/ et en tou¬
te patience. Hõnore ton pere/ affin que benediction	te patience. Honnore ton pere/ affin que benediction
uienne sur toy de dieu. Ecclesiastique.3.b.	vienne sur toy de dieu. Ecclesiastique.3.b.
Un chascun craindra son pere et sa mere. 3.	Un chascun craindra son pere et sa mere. 3.
