¶ Sũmaire/ ⁊ briefue	¶ Summaire/ et briefve
tous eussẽt uostre loy escrite en leͬs	tous eussent vostre loy escrite en leurs
sassent/ q̃ les peres la racõptassent	sassent/ que les peres la racomptassent
a leurs enfãs ⁊ domestiques/ ⁊ que	a leurs enfans et domestiques/ et que
tous sceussent uoz ceremonies ⁊ sta	tous sceussent voz ceremonies et sta¬
tuz. Uostre sainct euangile doibt	tuz. Vostre sainct evangile doibt
nen parle/ quõ ne le regarde ne lise?	n’en parle/ qu’on ne le regarde ne lise?
Pourquoy auez uous cõmande qͥl	Pourquoy avez vous commande qu’il
feust presche par tout le mõde a tou	feust presche par tout le monde a tou¬
te creature: ⁊ ainsi toute creature le	te creature: et ainsi toute creature le
chascun de le lyre.	chascun de le lyre.
O Iuges de iniqͥte/ pourtant q̃	O Juges de iniquite/ pourtant que
lescripture uous est en condẽnatiõ	l’escripture vous est en condemnation
(ainsi que Iesus uous est pierre de	(ainsi que Jesus vous est pierre de
de mort) en uoulez uoꝰ priuer les	de mort) en voulez vous priver les
esleuz/ ⁊ ceulx a qͥ Iesus est uraye¬	esleuz/ et ceulx a qui Jesus est vraye¬
mẽt Iesus ⁊ sauueur? leq̃l par son	ment Jesus et sauveur? lequel par son
sainct euãgile destruict uostre chef	sainct evangile destruict vostre chef
neur a Dieu q̃ sõ oeuure soit cachee	neur a Dieu que son oeuvre soit cachee
a ses enfans cõme nuysible ⁊ mor¬	a ses enfans comme nuysible et mor¬
telle: Dictes uous q̃ le bienest mal	telle: Dictes vous que le bien est mal
en le condẽnant/ ⁊ la lumiere tene¬	en le condemnant/ et la lumiere tene¬
ce ⁊ mauuais courage/ sinon de uo	ce et mauvais courage/ sinon de vo¬
stre pere ⁊ maistre le diable? Lequel	stre pere et maistre le diable? Lequel
(cõme il a faict des le cõmẽcemẽt)	(comme il a faict des le commencement)
sefforce dẽpescher que la parolle de	s’efforce d’empescher que la parolle de
nõ sans cause: car cest le seul neces¬	non sans cause: car c’est le seul neces¬
saire poͬ paruenir au royaume eter	saire pour parvenir au royaume eter¬
nel/ dont il est tõbe par sõ orgueil.	nel/ dont il est tombe par son orgueil.
Cest aussi la lumiere enuoyee du pe	C’est aussi la lumiere envoyee du pe¬
des paoures pecheurs seantz es te¬	des paovres pecheurs seantz es te¬
nebres de mort/ ⁊ pour leur faire cõ	nebres de mort/ et pour leur faire con¬
gnoistre ⁊ entẽdre les grãdz abuz/	gnoistre et entendre les grandz abuz/
ou il les a detenu si lõg tẽps: Affin	ou il les a detenu si long temps: Affin
ble aux paoures abusez belle ⁊ plai	ble aux paovres abusez belle et plai¬
sante pour les ceremonies/ signes ⁊	sante pour les ceremonies/ signes et
mines quon y faict) ilz retirẽt leͬs	mines qu’on y faict) ilz retirent leurs
opiniõs ⁊ se cõuertissent a la uraye	opinions et se convertissent a la vraye
christ ꝯduisãt en uie eternelle. Du¬	christ conduisant en vie eternelle. Du¬
quel le regne sera sans fin/ ⁊ domi¬	quel le regne sera sans fin/ et domi¬
nera sur uous tous ses ennemys/ ⁊	nera sur vous tous ses ennemys/ et
serez q̃lque ioͬ humiliez ⁊ mis soubz	serez quelque jour humiliez et mis soubz
q̃ ne eussiez iamais este naiz/ quand	que ne eussiez jamais este naiz/ quand
permettez bateleurs ⁊ tous liures/	permettez bateleurs et tous livres/
exceptez les annõciateurs de leuan	exceptez les annonciateurs de l’evan¬
gile ⁊ les liures qui le contiẽnẽt/ en	gile et les livres qui le contiennent/ en
Leuez uous Seigñr/ mõstrez q̃	Levez vous Seigneur/ monstrez que
cest uostre plaisir q̃ uostre filz soit	c’est vostre plaisir que vostre filz soit
hõnore/ que les ordonnãces de son	honnore/ que les ordonnances de son
royaume soyẽt publiees/ cõgneues	royaume soyent publiees/ congneues
cõgnoissent par uostre filz/ depuis	congnoissent par vostre filz/ depuis
le plus grãd iusq̃ au plꝰ petit. Fai¬	le plus grand jusque au plus petit. Fai¬
ctes que la trõpette du sainct euãgi	ctes que la trompette du sainct evangi¬
le soit ouye iusque a la fin ⁊ bout du	le soit ouye jusque a la fin et bout du
euãgelizateurs/ destruisez tous se¬	evangelizateurs/ destruisez tous se¬
meurs derreur: affin q̃ toute la ter¬	meurs d’erreur: affin que toute la ter¬
re uous serue/ uoꝰ inuocque/ uous	re vous serve/ vous invocque/ vous
adore ⁊ honnore.	adore et honnore.
urays pasteurs/ et quelle	vrays pasteurs/ et quelle
obedience et honneur on	obedience et honneur on
leur doit. Cha.xxxui.	leur doit. Chapitre.xxxvi.
C	C¬
pasteͬs/ doiuẽt tout prou	pasteurs/ doivent tout prou¬
uer ⁊ iuger ce quilz disẽt/	ver et juger ce qu’ilz disent/
quilz disent est de la ꝑolle de Dieu:	qu’ilz disent est de la parolle de Dieu:
⁊ regarder diligẽmẽt/ si ce	et regarder diligemment/ si ce
non pas a cause diceluy qui la por¬	non pas a cause d’iceluy qui la por¬
te: mais pourtant que cest la parol¬	te: mais pourtant que c’est la parol¬
le de Dieu.	le de Dieu.
Et se ilz trouuent q̃ on porte au¬	Et se ilz trouvent que on porte au¬
bien garde de y donner foy ne de y	bien garde de y donner foy ne de y
croire/ mesmement quand ce seroit	croire/ mesmement quand ce seroit
ung des plus grandz des apostres	ung des plus grandz des apostres
de Dieu/ ou ung ange du ciel qui	de Dieu/ ou ung ange du ciel qui
pure parolle de Dieu/ nous nen de¬	pure parolle de Dieu/ nous n’en de¬
uons rien tenir ne croire. Car autre	vons rien tenir ne croire. Car autre
pasture ne deuõs prendre q̃ la pure	pasture ne devons prendre que la pure
parolle de Dieu/ de laquelle lescri¬	parolle de Dieu/ de laquelle l’escri¬
te q̃ tout ce qͥ nest apertement prou¬	te que tout ce qui n’est apertement prou¬
ue par lescripture/ on ne le doit poĩt	ve par l’escripture/ on ne le doit point
receuoir. Car Dieu ne faict riẽ nou	recevoir. Car Dieu ne faict rien nou¬
ueau sur la terre/ quil ne le ayt pre¬	veau sur la terre/ qu’il ne le ayt pre¬
Quand dõc la parolle est portee	Quand donc la parolle est portee
puremẽt selon la saincte escripture	purement selon la saincte escripture
il fault obeyr a icelle: car on obeyt a	il fault obeyr a icelle: car on obeyt a
Dieu/ ⁊ receoit on nostre Seigͬ en	Dieu/ et receoit on nostre Seigneur en
celuy qui nous porte la doctrine de	celuy qui nous porte la doctrine de
uie. Car Dieu a ordõne q̃ celuy qui	vie. Car Dieu a ordonne que celuy qui
euangelize ⁊ presche leuãgile/ quil	evangelize et presche l’evangile/ qu’il
uiue de leuãgile. Pourtant ceulx qͥ	vive de l’evangile. Pourtant ceulx qui
de Dieu/ ilz doiuent cõmuniquer a	de Dieu/ ilz doivent communiquer a
celuy qui leur sert en la parolle/ en	celuy qui leur sert en la parolle/ en
tous biens. Non pas faisantz ung	tous biens. Non pas faisantz ung
gras pourceau: cõe on a nourry les	gras pourceau: come on a nourry les
Ne aussi laissantz auoir indigen	Ne aussi laissantz avoir indigen¬
ce: mais le nourrissant ⁊ uestãt en	ce: mais le nourrissant et vestant en
sorte quil puisse deument faire son	sorte qu’il puisse deument faire son
office/ sans estre enfle par labõdãce	office/ sans estre enfle par l’abondance
faire autremẽt quil ne doit par ne¬	faire autrement qu’il ne doit par ne¬
cessite. Mais ayt une moyẽne suffi	cessite. Mais ayt une moyenne suffi¬
sance pour uiure. Ce sont les deux	sance pour vivre. Ce sont les deux
honneurs quon doit a lancien/ au	honneurs qu’on doit a l’ancien/ au
uangile.	vangile.
¶ Du glaiue ⁊ puissance de	¶ Du glaive et puissance de
iustice ⁊ superiorite corporelle.	justice et superiorite corporelle.
Chap̃.xxxuii.	Chapitre.xxxvii.
Ous sommes cõposez de	Ous sommes composez de
deux choses fort ꝯtraires:	deux choses fort contraires:
de lame/ ⁊ du corps. La	de l’ame/ et du corps. L’a¬
me ⁊ lesperit ayãt cõgnois	me et l’esperit ayant congnois¬
⁊ hors ð seruitude trãsferee de mort	et hors de servitude transferee de mort
a uie/ de peche a iustice/ de ire a la¬	a vie/ de peche a justice/ de ire a l’a¬
doptiõ des enfãs de Dieu. Et par	doption des enfans de Dieu. Et par
ainsi selon lesperit ny a q̃ ung seul	ainsi selon l’esperit n’y a que ung seul
Il nya hõme ne fẽme/ masle ne fe¬	Il n’y a homme ne femme/ masle ne fe¬
melle/ seruiteur ne seigneur/ serf ne	melle/ serviteur ne seigneur/ serf ne
frãc/ ne aucune distinction de supe¬	franc/ ne aucune distinction de supe¬
riorite ne de subiection: car tous sõ¬	riorite ne de subjection: car tous som¬
Mais selon le corps leq̃l est enco	Mais selon le corps lequel est enco¬
re subiect a corruption/ duquel noꝰ	re subject a corruption/ duquel nous
attẽdons la redẽption/ il ya grãde	attendons la redemption/ il y a grande
differẽce. Il ya pere/ mere ⁊ enfãt:	difference. Il y a pere/ mere et enfant:
lenfant/ ⁊ lẽfant subiect. Il ya ma¬	l’enfant/ et l’enfant subject. Il y a ma¬
ry qͥ est seigneur ⁊ chef de la fẽme/ ⁊	ry qui est seigneur et chef de la femme/ et
la femme subiecte ⁊ soubz la puissã	la femme subjecte et soubz la puissan¬
ce du mary. Seigñr ⁊ seruiteͬ/ frãc	ce du mary. Seigneur et serviteur/ franc
Et tout cecy selon lordõnãce de	Et tout cecy selon l’ordonnance de
Dieu immuable: leq̃l pour la deffẽ	Dieu immuable: lequel pour la deffen¬
siõ des bõs: affin quõ ne leur nuyse	sion des bons: affin qu’on ne leur nuyse
ne en corps nen biẽs/ ⁊ pour la pu¬	ne en corps n’en biens/ et pour la pu¬
a autruy a institue la puissance du	a autruy a institue la puissance du
glaiue/ les Roys/ Princes ⁊ seigͬs:	glaive/ les Roys/ Princes et seigneurs:
⁊ tous ceulx qͥ ont ladministration	et tous ceulx qui ont l’administration
de iustice. Et affin quilz puissent	de justice. Et affin qu’ilz puissent
la main forte ueillantz ⁊ gardantz	la main forte veillantz et gardantz
quon ne face tort a nully/ tenantz	qu’on ne face tort a nully/ tenantz
tout en paix ou ilz ont la puissãce/	tout en paix ou ilz ont la puissance/
les tributz/ impostz/ ⁊ autres cho¬	les tributz/ impostz/ et autres cho¬
Il est uray si tout le mõde auoit	Il est vray si tout le monde avoit
la uraye ⁊ parfaicte cõgnoissãce de	la vraye et parfaicte congnoissance de
Dieu/ ⁊ que charite fust fermemẽt	Dieu/ et que charite fust fermement
plantee au coeͬ dung chascun: telle	plantee au coeur d’ung chascun: telle¬
de Dieu/ ne faisãt a autruy ce q̃ on	de Dieu/ ne faisant a autruy ce que on
ne uouldroit estre faict a soymes¬	ne vouldroit estre faict a soymes¬
me/ ia ne seroit besoing de glaiue/	me/ ja ne seroit besoing de glaive/
pour deffendre les bõs: car persõne	pour deffendre les bons: car personne
nir les mauuais: car il nen seroit	nir les mauvais: car il n’en seroit
point. Mais ainsi q̃ Iesus a sõ re¬	point. Mais ainsi que Jesus a son re¬
gne au millieu de ses ennemys/ les	gne au millieu de ses ennemys/ les
bõs on este ⁊ serõt parmy les mau¬	bons on este et seront parmy les mau¬
tant q̃ ce corps q̃ nous portõs dure.	tant que ce corps que nous portons dure.
Pourtãt il fault q̃ le glaiue ⁊ la	Pourtant il fault que le glaive et la
iustice soit/ ⁊ luy fault tous obeir/ ⁊	justice soit/ et luy fault tous obeir/ et
estre aussi tous subiectz a ceste puis¬	estre aussi tous subjectz a ceste puis¬
ue/ le corps ⁊ biẽs/ soit que la iustice	ve/ le corps et biens/ soit que la justice
use bien ou mal/ quãd en luy obeis/	use bien ou mal/ quand en luy obeis¬/
sant on ne uient point contre les cõ	sant on ne vient point contre les com¬
mãdemẽs de Dieu. Car la il fault	mandemens de Dieu. Car la il fault
Quand dõc la iustice impose tri	Quand donc la justice impose tri¬
but/ cõmãde de laisser le pays/ que	but/ commande de laisser le pays/ que
on face quelq̃ edifice/ ⁊ sẽblable cho	on face quelque edifice/ et semblable cho¬
se/ il fault obeir. Mais si elle com	se/ il fault obeir. Mais si elle com¬
periurer/ faire mal/ battre pere ou	perjurer/ faire mal/ battre pere ou
mere/ ou les maudire/ tuer/ battre/	mere/ ou les maudire/ tuer/ battre/
paillarder ou desrober/ en ce fault	paillarder ou desrober/ en ce fault
obeir a Dieu seul/ ⁊ non aux hões.	obeir a Dieu seul/ et non aux homes.
offenser Dieu/ fault obeir/ rendãtz	offenser Dieu/ fault obeir/ rendantz
tout ce qͥ luy appartient/ rẽtes/ cẽsi¬	tout ce qui luy appartient/ rentes/ censi¬
ues/ tributz/ ⁊ ĩpostz auec hõneur.	ves/ tributz/ et impostz avec honneur.
Ceulx qͥ sont en superiorite ⁊ ont	Ceulx qui sont en superiorite et ont
cõmẽt ilz usent diceluy ⁊ de la puis¬	comment ilz usent d’iceluy et de la puis¬
sance/ sachant q̃ la sus est celuy qui	sance/ sachant que la sus est celuy qui
est puissant sur tous/ qui les a com	est puissant sur tous/ qui les a com¬
mis pour traicter ⁊ cõduire les sub¬	mis pour traicter et conduire les sub¬
de ses enfãs/ rẽdantz a ung chascũ	de ses enfans/ rendantz a ung chascun
ce quil luy appartient/ sans auoir	ce qu’il luy appartient/ sans avoir
aucun regard ne du paoure/ ne du	aucun regard ne du paovre/ ne du
riche/ ne du petit ne du grand/ de	riche/ ne du petit ne du grand/ de
non exẽpte (cõme cõtre Dieu et la	non exempte (comme contre Dieu et la
saincte puissance a este cõtrouuee)	saincte puissance a este controuvee)
soy gardantz bien de uendre iustice	soy gardantz bien de vendre justice
ne de prẽdre dõs. Car dautãt qͥlz	ne de prendre dons. Car d’autant qu’ilz
ayantz tel honneur destre appellez	ayantz tel honneur d’estre appellez
aussi filz du treshault/ dautãt le iu¬	aussi filz du tres hault/ d’autant le ju¬
gemẽt sera plus aigre sur eulx silz	gement sera plus aigre sur eulx s’ilz
ne respondẽt a leur office/ ⁊ ne gar¬	ne respondent a leur office/ et ne gar¬
que Dieu leur a commise.	que Dieu leur a commise.
Les subiectz aussi se donnẽt bien	Les subjectz aussi se donnent bien
garde de se esleuer ⁊ rebeller contre	garde de se eslever et rebeller contre
leurs seigneͬs ne de resister a eulx.	leurs seigneurs ne de resister a eulx.
ue/ il resiste a lordõnance de Dieu.	ve/ il resiste a l’ordonnance de Dieu.
La foy ⁊ renouuellement de uie ne	La foy et renouvellement de vie ne
oste point ceste subiection: ⁊ encore	oste point ceste subjection: et encore
moins le baptesme. Et pourtãt ne	moins le baptesme. Et pourtant ne
estoit serf et en seruitude corporelle	estoit serf et en servitude corporelle
parauant) q̃ par le baptesme il doi¬	paravant) que par le baptesme il doi¬
ue estre frãc/ cõme le Pape a escrit.	ve estre franc/ comme le Pape a escrit.
Mais par la cõfession ⁊ ꝓtestation	Mais par la confession et protestation
de garder la loy de nostre Seigͬ/ il	de garder la loy de nostre Seigneur/ il
est tenu de seruir a son Seigñr cõ¬	est tenu de servir a son Seigneur com¬
me parauãt. Uoire en toute fideli¬	me paravant. Voire en toute fideli¬
te/ ⁊ non seulemẽt a loeil: cõbiẽ que	te/ et non seulement a l’oeil: combien que
le nom ⁊ la doctrine de dieu ne soit	le nom et la doctrine de dieu ne soit
point blasphemce cõme iniq̃/ ostant	point blasphemce comme inique/ ostant
au seigneur ce qͥ luy appartient. Et	au seigneur ce qui luy appartient. Et
quand le Seigñr est fidele/ de meil	quand le Seigneur est fidele/ de meil¬
le/ comme a celuy qui est heritier du	le/ comme a celuy qui est heritier du
royaume auec luy.	royaume avec luy.
En quoy est assez donne a enten	En quoy est assez donne a enten¬
dre que les fideles peuuẽt auoir sei¬	dre que les fideles peuvent avoir sei¬
⁊ porter le glaiue administrãtz iu¬	et porter le glaive administrantz ju¬
stice deument. Et quand Dieu	stice deument. Et quand Dieu
leur a dõne la grace de pouuoir sou	leur a donne la grace de pouvoir sou¬
lager le pays/ deffendantz les bõs	lager le pays/ deffendantz les bons
a ce esleuz/ ilz le doiuẽt faire/ cõme	a ce esleuz/ ilz le doivent faire/ comme
charite le requiert/ secourãtz a leur	charite le requiert/ secourantz a leur
prochain/ ⁊ usantz de la grace que	prochain/ et usantz de la grace que
Dieu leur a dõnee/ deliurantz les	Dieu leur a donnee/ delivrantz les
oppresseurs a lhonneur de Dieu/	oppresseurs a l’honneur de Dieu/
auanceantz sa gloire/ ostant tout ce	avanceantz sa gloire/ ostant tout ce
