¶ Linstruction des	¶ L’instruction des
toutes les ꝓmesses de dieu/ sont par celuy Ouy: ⁊	toutes les promesses de dieu/ sont par celuy Ouy: et
rinthiens.1.d.	rinthiens.1.d.
Uostre parolle soit tousiours cõfite en sel auec	Vostre parolle soit tousjours confite en sel avec
Si aucun parle/ quil parle comme parolles de	Si aucun parle/ qu’il parle comme parolles de
¶ Du iurement licite/ concernant lhonneur	¶ Du jurement licite/ concernant l’honneur
de Dieu/ et ledification du prochain.	de Dieu/ et l’edification du prochain.
fin de tout leur different/ pour cõfirmation est le	fin de tout leur different/ pour confirmation est le
Tu seras a luy adherent/ ⁊ iureras par sõ nom.	Tu seras a luy adherent/ et jureras par son nom.
5.Moyse.10.d.6.c.	5.Moyse.10.d.6.c.
Tous ceux qͥ iurent en luy serõt louez. Ps̈.63.c	Tous ceux qui jurent en luy seront louez. Ps̈.63.c
tira hors de ma bouche/ ⁊ ne retournera poĩt. Car	tira hors de ma bouche/ et ne retournera point. Car
tout genouil se ployera deuãt moy: ⁊ toute lãgue	tout genouil se ployera devant moy: et toute langue
Dieu auq̃l ie sers en mon esperit en leuãgile de	Dieu auquel je sers en mon esperit en l’evangile de
Uoyez exẽples) Du iuremẽt faict en iugemẽt.	Voyez exemples) Du jurement faict en jugement.
2.Moy.22.a. De Abimelech ⁊ Isaac. 1.Moy.26.g.	2.Moy.22.a. De Abimelech et Isaac. 1.Moy.26.g.
g. De Iosue auec les princes. Iosue.9.d. Des Is¬	g. De Josue avec les princes. Josue.9.d. Des Is¬
d.2. Samuel.19.d. 1.Roys.1.b.c.d.2.b. De Paul.	d.2. Samuel.19.d. 1.Roys.1.b.c.d.2.b. De Paul.
2.Corin.1.d.	2.Corin.1.d.
¶ Du iour du sabbath ou repos.	¶ Du jour du sabbath ou repos.
auoit faicte/ ⁊ beneit le septiesme iour ⁊ le sãctifia.	avoit faicte/ et beneit le septiesme jour et le sanctifia.
1.Moy.2.a. 2.Moy.20.b. Heb.4.a.b.	1.Moy.2.a. 2.Moy.20.b. Heb.4.a.b.
cest le signe entre moy ⁊ uous/ en uoz generatiõs:	c’est le signe entre moy et vous/ en voz generations:
sãctifie. Gardez mõ sabbath/ car il est saĩct enuers	sanctifie. Gardez mon sabbath/ car il est sainct envers
uoꝰ. Cestuy qͥ le aura pollut/ qͥl meure de mort ⁊c.	vous. Cestuy qui le aura pollut/ qu’il meure de mort etc.
⁊ le signe perpetuel. 2.Moy.31.c.d. Ezech.20.b.	et le signe perpetuel. 2.Moy.31.c.d. Ezech.20.b.
iour tu te reposeras: affin que ton boeuf ⁊ ton asne	jour tu te reposeras: affin que ton boeuf et ton asne
cesse/ ⁊ que le filz de ta seruante ⁊ lestrangier ayent	cesse/ et que le filz de ta servante et l’estrangier ayent
Affin que ton seruiteur et ta seruante reposent	Affin que ton serviteur et ta servante reposent
Ie ne souffriray plus uostre prime lune/ ne le	Je ne souffriray plus vostre prime lune/ ne le
sabbath ne les autres festes. Uoz congregations	sabbath ne les autres festes. Voz congregations
des/ ⁊ uoz solẽnitez: icelles me sont en charge/ ⁊ ay	des/ et voz solennitez: icelles me sont en charge/ et ay
¶ De la deliurance du sabbath	¶ De la delivrance du sabbath
charnel ⁊ figuratif.	charnel et figuratif.
en partie du iour de la feste/ ou du nouueau moys/	en partie du jour de la feste/ ou du nouveau moys/
a aduenir/ le corps certes de Christ. Colos.2.f.	a advenir/ le corps certes de Christ. Colos.2.f.
Uoꝰ obseruez les iours/ ⁊ les moys/ ⁊ les tẽps/	Vous observez les jours/ et les moys/ et les temps/
Certes se uous entendiez que cest: Ie ueux mise	Certes se vous entendiez que c’est: Je veux mise¬
dẽne les innocens. Car le filz de lhõme est Seigñr	demne les innocens. Car le filz de l’homme est Seigneur
aussi du sabbath ⁊c. Il est donc licite de bien fair	aussi du sabbath etc. Il est donc licite de bien fair
Le sabbath est faict pour lhomme/ ⁊ non point	Le sabbath est faict pour l’homme/ et non point
¶ Du sabbath spirituel ⁊ perpetuel.	¶ Du sabbath spirituel et perpetuel.
Lors sera perpetuel moys/ ⁊ perpetuel sabbath.	Lors sera perpetuel moys/ et perpetuel sabbath.
Nous qui auons creu: entrerõs au repos/ cõme	Nous qui avons creu: entrerons au repos/ comme
affin que aucun ne chee en semblable exemple din	affin que aucun ne chee en semblable exemple d’in¬
credulite ⁊c. Hebr.4.a.b.c.	credulite etc. Hebr.4.a.b.c.
se.16.e.20.b.31.a.34.c.35.a. 3.Moyse.19.a.f.23.a.	se.16.e.20.b.31.a.34.c.35.a. 3.Moyse.19.a.f.23.a.
2.Esdr.13.b. 2.Moy.16.f. 4.Moy.15.d. Luc.3.c.	2.Esdr.13.b. 2.Moy.16.f. 4.Moy.15.d. Luc.3.c.
6.a. 1.Corin.16.a. Iehã.5.c.d.e.7.c. Luc.13.c.	6.a. 1.Corin.16.a. Jehã.5.c.d.e.7.c. Luc.13.c.
Tu laboureras par six iours/ ⁊ feras toutes tes	Tu laboureras par six jours/ et feras toutes tes
En la sueur de tõ uisage tu mãgeras ton pain:	En la sueur de ton visage tu mangeras ton pain:
iusque a ce que tu retourne en la terre/ de laquelle	jusque a ce que tu retourne en la terre/ de laquelle
tourneras. 1.Moyse.3.c.	tourneras. 1.Moyse.3.c.
uoller. Iob.5.a.	voller. Job.5.a.
Qui laboure son chãp/ il sera rassasie de pains:	Qui laboure son champ/ il sera rassasie de pains:
Quãd aĩsi tu mãgeras le labeur de tes mains/	Quand ainsi tu mangeras le labeur de tes mains/
Celuy qui desroboit/ maintenãt qͥl ne desrobbe	Celuy qui desroboit/ maintenant qu’il ne desrobbe
plus: mais plus tost quil labeure en oeuurant de	plus: mais plus tost qu’il labeure en oeuvrant de
niquer a celuy qui a disette. Ephe.4.f.	niquer a celuy qui a disette. Ephe.4.f.
1.Corinthiens.4.c.	1.Corinthiens.4.c.
Uous scauez cõmẽt il faut q̃ uous nous ensuy¬	Vous scavez comment il faut que vous nous ensuy¬
⁊ ne auons point mãge le pain daucun pour neãt.	et ne avons point mange le pain d’aucun pour neant.
affin q̃ ne greuissions aucuns dentre uous. Non	affin que ne grevissions aucuns d’entre vous. Non
pas que nous ne ayõs eu la puissance: mais affin	pas que nous ne ayons eu la puissance: mais affin
pour nous ensuyure. Car aussi quand nous estiõs	pour nous ensuyvre. Car aussi quand nous estions
se aucun ne ueut ouurer quil ne mange point.	se aucun ne veut ouvrer qu’il ne mange point.
2.Thessalo.3.b.c. 1.Thessa.4.c.	2.Thessalo.3.b.c. 1.Thessa.4.c.
a ceux qui sont auec moy/ ses mains cy les ont ad¬	a ceux qui sont avec moy/ ses mains cy les ont ad¬
ceux qui labourent ainsi il faut quilz aydent les	ceux qui labourent ainsi il faut qu’ilz aydent les
foibles ⁊ ayent memoire de la parolle de nostre sei¬	foibles et ayent memoire de la parolle de nostre sei¬
reuse de donner que de prendre. Act̃.20.g.	reuse de donner que de prendre. Act̃.20.g.
maniere/ affin que tu soye sage. Prouer.6.a.	maniere/ affin que tu soye sage. Prover.6.a.
Ne laboure pas pour estre riche: deporte toy de	Ne laboure pas pour estre riche: deporte toy de
Uoyez) Prouer.6.10.13.18.20.21.24.28. Eccłe.11.	Voyez) Prover.6.10.13.18.20.21.24.28. Eccłe.11.
¶ Sur le .u. cõmandement.	¶ Sur le .v. commandement.
¶ De hõnorer pere ⁊ mere: ⁊	¶ De honnorer pere et mere: et
lieu diceux.	lieu d’iceux.
dieu le ta cõmande/ affin que tes iours soyẽt prolõ	dieu le ta commande/ affin que tes jours soyent prolon¬
gez/ ⁊ affin quil te soit bien sur la terre laq̃lle Le¬	gez/ et affin qu’il te soit bien sur la terre laquelle L’e¬
Celuy qui craint le Seigneur faict honneur a	Celuy qui craint le Seigneur faict honneur a
me aux seigneurs/ en oeuure/ ⁊ en parolle/ ⁊ en tou	me aux seigneurs/ en oeuvre/ et en parolle/ et en tou¬
te patience. Hõnore ton pere/ affin que benediction	te patience. Honnore ton pere/ affin que benediction
Un chascun craindra son pere et sa mere. 3.	Un chascun craindra son pere et sa mere. 3.
Hõnore pere ⁊ mere. Matth.15.a. Marc.7.b.	Honnore pere et mere. Matth.15.a. Marc.7.b.
Maudit soit celuy qui ne honnore son pere ⁊ sa	Maudit soit celuy qui ne honnore son pere et sa
Enfans obeissez a uoz peres ⁊ a uoz meres en	Enfans obeissez a voz peres et a voz meres en
ta mere (lequel est le premier cõmandemẽt en pro¬	ta mere (lequel est le premier commandement en pro¬
messe) affin quil te soit bien/ ⁊ que tu soye de lon¬	messe) affin qu’il te soit bien/ et que tu soye de lon¬
Qui donne trauail a son pere/ ⁊ deboute sa me	Qui donne travail a son pere/ et deboute sa me¬
Qui frappe sõ pere ou sa mere soit mis a mort.	Qui frappe son pere ou sa mere soit mis a mort.
2.Moyse.21.b.	2.Moyse.21.b.
2.Moy.21.b.3. Moyse.20.a.b. 5.Moy.21.d.	2.Moy.21.b.3. Moyse.20.a.b. 5.Moy.21.d.
ra esteinte au millieu des tenebres. Prouer.20.c.	ra esteinte au millieu des tenebres. Prover.20.c.
Les corbeaux creueront aupres du fleuue/ ⁊ les	Les corbeaux creveront aupres du fleuve/ et les
contemne son pere/ ⁊ contẽne le cõmandement de	contemne son pere/ et contemne le commandement de
Escoute ton pere qui ta engendre/ ⁊ ne mesprise	Escoute ton pere qui t’a engendre/ et ne mesprise
ta mere/ pource quelle est ancienne. Prouer.23.c.	ta mere/ pour ce qu’elle est ancienne. Prover.23.c.
peche: cestuy est le cõpaignon de lhomicide. Pro¬	peche: cestuy est le compaignon de l’homicide. Pro¬
Uoyez) 3. Moy.20.a. 5.Moy.21.a. Tob.4.a.	Voyez) 3. Moy.20.a. 5.Moy.21.a. Tob.4.a.
Ecclesiastique.3. ⁊. 7. Exẽples de Isaac. 1.Moy¬	Ecclesiastique.3. et. 7. Exemples de Isaac. 1.Moy¬
bie.5.a. De Iesus Christ. Luc.2.g. Et aux Phi	bie.5.a. De Jesus Christ. Luc.2.g. Et aux Phi¬
¶ Comment pour lamour du pere on ne	¶ Comment pour l’amour du pere on ne
doit desobeir a Dieu/ le sou¬	doit desobeir a Dieu/ le sou¬
Ne pensez point que ie soye uenu mettre paix	Ne pensez point que je soye venu mettre paix
mais le glaiue. Car ie suis uenu separer lhomme	mais le glaive. Car je suis venu separer l’homme
alencõtre de son pere ⁊ la fille alencõtre de sa me¬	a l’encontre de son pere et la fille a l’encontre de sa me¬
ennemis de lhõme serõt ceux de sa maisõ ⁊c. Qui	ennemis de l’homme seront ceux de sa maison etc. Qui
digne de moy. Matth.10.d.	digne de moy. Matth.10.d.
Et tout hõme qui aura delaisse maison/ ou fre¬	Et tout homme qui aura delaisse maison/ ou fre¬
fans/ ou champ/ pour mon nom: il en receura cent	fans/ ou champ/ pour mon nom: il en recevra cent
Ne soyez pas cõme uoz peres cõtre lesquelz les	Ne soyez pas comme voz peres contre lesquelz les
premiers ꝓphetes crioyẽt ⁊c. zacharie.1.a. Psal¬	premiers prophetes crioyent etc. zacharie.1.a. Psal¬
Ne uueillez cheminer aux cõmandemẽs de uoz	Ne vueillez cheminer aux commandemens de voz
point souillez en leurs images. Ie suis le seigneur	point souillez en leurs images. Je suis le seigneur
Dieu uostre Dieu. Cheminez en mes commande¬	Dieu vostre Dieu. Cheminez en mes commande¬
chiel.20.c.	chiel.20.c.
quelz se sont retirez du seigneur le Dieu de uoz pe¬	quelz se sont retirez du seigneur le Dieu de voz pe¬
res ⁊ les a mis en desolation comme uous uoyez.	res et les a mis en desolation comme vous voyez.
cõme uoz peres. 2.Cronicques.30.b.	comme voz peres. 2.Cronicques.30.b.
lhõneur ⁊ obedience deue aux princes	l’honneur et obedience deue aux princes
et gouuerneurs: lesquelz doib¬	et gouverneurs: lesquelz doib¬
au peuple.	au peuple.
Tu ne maudiras point les dieux (cest adire iu¬	Tu ne maudiras point les dieux (c’est a dire ju¬
ges) ⁊ ne blasmeras point le prince de ton peuple.	ges) et ne blasmeras point le prince de ton peuple.
Baillez a Cesar/ ce qui appartient a Cesar.	Baillez a Cesar/ ce qui appartient a Cesar.
Toute ame soit subiecte aux superiores puis¬	Toute ame soit subjecte aux superiores puis¬
sances. Car il ny a point de puissãce/ sinõ de dieu.	sances. Car il n’y a point de puissance/ sinon de dieu.
dieu. Parquoy qui resiste a la puissance: il resiste	dieu. Parquoy qui resiste a la puissance: il resiste
rent dãnation a eux mesmes. Elle ne porte point	rent damnation a eux mesmes. Elle ne porte point
le glaiue sans cause: car elle est seruante a Dieu/	le glaive sans cause: car elle est servante a Dieu/
Pour ceste cause certes uous payez les tributz: car	Pour ceste cause certes vous payez les tributz: car
Rendez donc a tous les choses deues: a qui tribut/	Rendez donc a tous les choses deues: a qui tribut/
le tribut: a qui peage/ le peage: a qui crainte/ la	le tribut: a qui peage/ le peage: a qui crainte/ la
Soyez subiectz a toute humaine creature: pour	Soyez subjectz a toute humaine creature: pour
Ducz/ cõme aux enuoyez de par luy pour faire uẽ¬	Ducz/ comme aux envoyez de par luy pour faire ven¬
geance des malfaicteurs/ et pour la louenge des	geance des malfaicteurs/ et pour la louenge des
Admonneste iceux destre subiectz aux princes ⁊	Admonneste iceux d’estre subjectz aux princes et
Obeissez a uoz superieurs: et soyez subiectz a	Obeissez a voz superieurs: et soyez subjectz a
eux (car ilz sont ueillans: cõme ceux qui rendront	eux (car ilz sont veillans: comme ceux qui rendront
ment et non point en gemissant: car ce ne uous est	ment et non point en gemissant: car ce ne vous est
¶ Item de lobeissance des seruiteurs uers	¶ Item de l’obeissance des serviteurs vers
leurs seigneurs.	leurs seigneurs.
seigneurs charnelz/ ne seruant point a loeil/ cõme	seigneurs charnelz/ ne servant point a l’oeil/ comme
craignans dieu. Quelque chose que uous faictes/	craignans dieu. Quelque chose que vous faictes/
faictes la de couraige: ainsi cõme a dieu/ non pas	faictes la de couraige: ainsi comme a dieu/ non pas
nostre seigñr/ la retribution de lheritage: car uous	nostre seigneur/ la retribution de l’heritage: car vous
Quiconques sont soubz la subiection de serui¬	Quiconques sont soubz la subjection de servi¬
tude/ quilz estiment leurs seigneurs dignes de tout	tude/ qu’ilz estiment leurs seigneurs dignes de tout
doctrine ne soit blasmee. Et ceulx qui ont seigneͬs	doctrine ne soit blasmee. Et ceulx qui ont seigneurs
sont freres: mais plus tost quilz les seruent/ pour	sont freres: mais plus tost qu’ilz les servent/ pour
ce quilz sont fideles et aymez/ lesquelz sont par¬	ce qu’ilz sont fideles et aymez/ lesquelz sont par¬
neste. 1.Timothee.6.a.	neste. 1.Timothee.6.a.
leurs seigneurs/ plaisans en toutes choses: non cõ	leurs seigneurs/ plaisans en toutes choses: non con¬
tredisans/ non deceuans: mais mõstrans toute bõ	tredisans/ non decevans: mais monstrans toute bon¬
ctrine de dieu nostre sauueur. Tite.2.b.	ctrine de dieu nostre sauveur. Tite.2.b.
a uoz seigneurs: non seulement aux bons et mo¬	a voz seigneurs: non seulement aux bons et mo¬
destes/ mais aux difficiles. 1.Pierre.2.c.	destes/ mais aux difficiles. 1.Pierre.2.c.
Fays reuerence a la uieillesse/ ⁊ hõnore la per¬	Fays reverence a la vieillesse/ et honnore la per¬
Moyse.19.g.	Moyse.19.g.
Sẽblablement uous ieunes soyez subiectz aux	Semblablement vous jeunes soyez subjectz aux
autres. 1.Pierre.5.b.	autres. 1.Pierre.5.b.
le cõme pere: les ieunes/ comme freres: les uieilles/	le comme pere: les jeunes/ comme freres: les vieilles/
cõme meres: les ieunes filles/ cõme soeurs: en tou¬	comme meres: les jeunes filles/ comme soeurs: en tou¬
¶ Contre lhonneur ⁊ la gloire de dieu/	¶ Contre l’honneur et la gloire de dieu/
Il uaut mieux obeir a dieu/ que aux hommes.	Il vaut mieux obeir a dieu/ que aux hommes.
Actes.4.d.5.e.	Actes.4.d.5.e.
femmes. Exode.1.c.	femmes. Exode.1.c.
¶ De homicide/ ⁊ malueillance.	¶ De homicide/ et malveillance.
A moy est la uengeance. 5.Moyse.32.e. Eccle	A moy est la vengeance. 5.Moyse.32.e. Eccle¬
Qui respandera le sang de lhõme/ son sãg luy	Qui respandera le sang de l’homme/ son sang luy
1.Moyse.9.a.	1.Moyse.9.a.
Ne quiers point uengeance/ ⁊ naye recordation	Ne quiers point vengeance/ et n’aye recordation
Ne dis point/ ie rendray le mal: mais attens le	Ne dis point/ je rendray le mal: mais attens le
Tu ne seras point homicide. Matthieu.19.b.	Tu ne seras point homicide. Matthieu.19.b.
5.Moyse.5.a. Romains.13.c.	5.Moyse.5.a. Romains.13.c.
mis a mort. 3.Moyse.24.c. 2.Moyse.21.b.	mis a mort. 3.Moyse.24.c. 2.Moyse.21.b.
des tesmoĩgz/ le meurtrier sera occis. 3.Moy.35.d.	des tesmoingz/ le meurtrier sera occis. 3.Moy.35.d.
Remetz ton glaiue en son lieu. Car tous ceux	Remetz ton glaive en son lieu. Car tous ceux
thieu.26.e. Apocalip.13.c.	thieu.26.e. Apocalip.13.c.
du tout en abhominatiõ. Ascauoir la langue mẽ¬	du tout en abhomination. Ascavoir la langue men¬
teresse: les mains qui respandent le sang des inno¬	teresse: les mains qui respandent le sang des inno¬
piedz qͥ courrẽt apres les maux/ le faux tesmoing/	piedz qui courrent apres les maux/ le faux tesmoing/
Tu nauras point hayne/ en ton coeur cõtre ton	Tu n’auras point hayne/ en ton coeur contre ton
prochain. 3.Moyse.19.d.	prochain. 3.Moyse.19.d.
pechez. Prouerbes.10.b.	pechez. Proverbes.10.b.
eis mains du cruel messagier. Si tu rendz le mal	eis mains du cruel messagier. Si tu rendz le mal
pour mal: le mal ne se partira point de sa maison.	pour mal: le mal ne se partira point de sa maison.
Uous auez ouy qͥl a este dit aux anciẽs: Tu ne	Vous avez ouy qu’il a este dit aux anciens: Tu ne
de iugement. Mais moy ie uous dy que tout hom	de jugement. Mais moy je vous dy que tout hom¬
me qui se courrouce a son frere: sera coupable de iu	me qui se courrouce a son frere: sera coupable de ju¬
il sera coupable de cõcile. Et qͥcõque aura dit/ fol:	il sera coupable de concile. Et quiconque aura dit/ fol:
Quicõque hayt son frere/ est homicide: et uous	Quiconque hayt son frere/ est homicide: et vous
scauez que tout homicide na point la uie eternelle	scavez que tout homicide n’a point la vie eternelle
Ne resistez poĩt au mal/ mais se aucun te frappe	Ne resistez point au mal/ mais se aucun te frappe
ueut ꝓceder en iugemẽt ꝯtre toy/ ⁊ te oster ta robbe:	veut proceder en jugement contre toy/ et te oster ta robbe:
laisse luy aussi ton manteau. Et quicõque te ueut	laisse luy aussi ton manteau. Et quiconque te veut
mille ⁊c. Aymez uoz ennemis/ faictes bien a ceux	mille etc. Aymez voz ennemis/ faictes bien a ceux
cutent/ ⁊ qui faucemẽt imposent crimes: affin que	cutent/ et qui faucement imposent crimes: affin que
uous soyez filz de uostre pere qui est eis cieux/ leq̃l	vous soyez filz de vostre pere qui est eis cieux/ lequel
uais/ ⁊ enuoye pluye sur les iustes et iniustes ⁊c.	vais/ et envoye pluye sur les justes et injustes etc.
